Area,HospitalNearby,SchoolNearby,MallNearby,PublicTransport
Vesu,No,Yes,No,Yes
Adajan,No,Yes,Yes,No
Katargam,Yes,Yes,Yes,No
Pal,Yes,Yes,No,Yes
Varachha,No,Yes,Yes,Yes
Udhna,Yes,Yes,No,No
Piplod,No,Yes,No,Yes
Athwa,No,Yes,Yes,No
Dindoli,No,Yes,No,No
CityLight,No,Yes,Yes,No
Althan,No,Yes,Yes,Yes
Bhatar,Yes,Yes,Yes,Yes
Nanpura,No,Yes,Yes,Yes
Majura,Yes,Yes,No,No
ParlePoint,Yes,Yes,Yes,Yes
Godadara,No,Yes,No,No
Sachin,No,Yes,Yes,No
Hazira,No,Yes,Yes,Yes
Katargam East,No,Yes,Yes,Yes
Amroli,Yes,Yes,No,No
